,prop_id,prop_id.1,prop_name.1,primary_commodity,mo_source_date,mo_yr_source_date,mine_type1,mine_type2,mine_type3,commodities_list,state_province,snl_global_region,latitude,longitude,coordinate_accuracy,distance_from,location_comments,locale,district,country/region_pol_risk,country/region_op_risk,country/region_sec_risk,country/region_ter_risk,millhead_grade_g_per_tonne,millhead_grade_g_per_cubic_m,millhead_grade_pct,millhead_grade_ct_per_tonne,millhead_grade_ct_per_cubic_m,recov_rate,production_capacity_oz,production_capacity_tonne,production_capacity_lb,production_capacity_ct,num_royalty_owners,owner_list,num_royalty_holders,royalty_holder_list,cash_cost_per_oz,cash_cost_per_tonne,cash_cost_per_lb,cash_cost_per_ct,total_production_cost_per_oz,total_production_cost_per_tonne,total_production_cost_per_lb,total_production_cost_per_ct,all_in_sustaining_cost_per_oz,all_in_sustaining_cost_per_tonne,all_in_sustaining_cost_per_lb,all_in_sustaining_cost_per_ct,start_up_yr,start_up_calendar_qtr,proj_start_up_yr,proj_start_up_qtr,actual_closure_yr,actual_closure_qtr,proj_closure_yr,proj_closure_qtr,mill_capacity_tonnes_per_day,mill_capacity_tonnes_per_year,mill_capacity_cubic_m_per_day,mill_capacity_cubic_m_per_year,stripping_ratio,waste_to_ore_ratio,mining_methods,processing_methods,production_forms,mining_processing_cost_per_metric_tonne,mining_processing_cost_per_cubic_m,amt_capital_invested,capital_cost_announced_date,capital_cost_proj_completion_date,capital_cost_completion_date,capital_cost_type,capital_cost_comments,capital_improvement_yr,owner_name,current_owner_common_name,current_owner_company_name_abbrev,owner_type,owner_pct,current_controlling_own_pct,owner_hq,owner_city_state,owner_location,owner_frgn_province,owner_country,owner_global_region,prop_name,also_known_as,country_name,actv_status,dev_stage,yr_source_date,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),remark,production_capacity_openpit,production_capacity_underground,production_capacity,productiion_to_capacity,mine_life,country/region_overall_risk,prob_shutdown,current_stage
791,32689.0,32689.0,Morro Sem Bone,Nickel,12.0,12/2012,,,,Nickel,Mato Grosso,Latin America and Caribbean,-13.19779,-60.29933,Exact,75 km NW of Comodoro,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015.0,,,,,,,,,,,,,,,,,1670000.0,2009-04-13,,,Initial Capital Cost,"In February 2009, Anglo American had reportedly postponed prefeasibility work at Morro Sem Bone by one year. (BNA 3/2/09) As planned, the project would cost $1.67 billion to begin production in 2016 at a rate of 32,000 mt/y Ni. (Anglo American 12/08 AR 2/20/09)",2009.0,,,,,,,,,,,,,Morro Sem Bone,,Brazil,Inactive,Reserves Development,2012.0,,1.76,,47.0,,,,,,,,,7.0,0.11764899999999996,Development-stage
820,27453.0,27453.0,Munali,Nickel,10.0,10/2018,Underground,,,"Nickel,Copper,Cobalt,Platinum,Palladium",Southern,Africa,-15.92333,28.13444,Exact,60 km S of Lusaka,,,,2.0,2.0,1.0,0.0,,,,,,,,,,,2.0,Consolidated Mining and Investments Ltd (Optionee) 68%; Jinchuan Group International Resources Co. Ltd (Optionor) 32%,1.0,Jinchuan Group International Resources Co. Ltd (Royalty),,,,,,,,,,,,,2010.0,1.0,2008.0,2.0,2013.0,4.0,2018.0,2.0,3640.0,1200000.0,,,,,,"Crushing, Flotation",Concentrate,,,124000.0,2006-08-17,,,Initial Capital Cost,"The mine cost around $124 million to build, targeting nameplate capacity of 75,000 mt/month at the mine to bring production up to 900,000 mt/y.  This would produce around 8,500 mt/y of nickel in concentrate._x000D_
	Following this, Albidon was eyeing an expanded target of 1.2 million mt/y, with the ore to come from the Enterprise deposit, that would produce more than 10,000 mt/y nickel in a nickel-copper-cobalt-platinum group metals concentrate. The expansion was scheduled for early 2009. (MiningNews.net 11/19/08)_x000D_
	By November 2007, the project capital cost had increased to $124 million since the bankable feasibility study 2006. Much of this increase was due to industry-wide cost pressures on equipment, fuel and labour. The securing of a back-up power supply added about $3.5 million of these additional capital requirements. (Mineweb 11/28/07)_x000D_
	In October 2007, Albidon increased the estimated capital costs of Munali to $100 million. (Albidon Presentation 10/2/07)_x000D_
	In late May 2007, The European Investment Bank and Barclays Capital provided a senior debt financing facility of up to $60 million for the Munali project. As part of the requirements associated with this facility, Albidon  completed a nickel hedging program over the debt service period between June 2009 and December 2013.  Albidon forward hedged 9,020 mt (164 mt/m), which represented less than 15% of the project's expected payable Ni production, and no more than 26% of payable Ni from production in any one year. The hedging was to begin in June 2009 which would allow for full production ramp up from mid-2008 and provides exposure to the spot price of Ni for the first 12 months of production. (Albidon PR 5/31/07)_x000D_
	In December 2006, capital costs were estimated at $80 million, including $51 million for the concentrator, $14 million for surface infrastructure, $5 million for mine infrastructure, $9 million for contingencies and $1 million miscellaneous. (Albidon 12/06 AR 5/3/07) _x000D_
	In April 2007, Albidon announced that the European Investment Bank and Barclays Capital officially approved the $60 million facility for Munali announced in January 2007. (Albidon PR 4/30/07)_x000D_
	Also in April, Albidon completed a $5 million share placement to Jinchuan Group pursuant the December 2006 offtake agreement between the companies. The funds would be used for equipment purchases, construction, and mine development at Munali. (Albidon PR 4/12/07) _x000D_
	By mid-month, all facets of the agreement had been executed, thus completing the offtake contract and offtake financing arrangements for the project. (Albidon PR 4/17/07) _x000D_
	In December 2006, after protracted negotations with several major nickel companies, Albidon signed offtake and financing agreements with China's Jinchuan Group. Under the agreements, Jinchuan would purchase all nickel concentrate derived from the Munali project and any expansions thereof, provide a $20 million subordinated debt financing facility for the project's development, and subscribe for $5 million in Albidon shares. _x000D_
	In August 2006, captial costs were estimated at $65 million, which included $36 million for the concentrator and $14 million for surface infrastructure. _x000D_
	Albidon planned to fund the development of Munali by a combination of debt and equity financing. (Albidon PR 8/17/06)",2006.0,Consolidated Mining and Investments Ltd,Consolidated Mining and Investments Ltd,Consolidated Minin,Optionee,68.0,68.0,London,"London, England",London [GB],England,United Kingdom,Europe,Munali,"Enterprise, Lusaka, Munami, Voyager",Zambia,Active,Operating,2018.0,60160.0,1.0,4714.0,6.01,60160.0,6010000.0,Consolidated Nickel Mines Munali Factsheet April 2020Consolidated Nickel Mines Munali Factsheet April 2020 and website (accessed May 2020),1097088.2471603986,650121.0049129025,650121.0049129025,0.007250957843811769,12.761985574883326,5.0,0.015625,Operating-stage
823,28725.0,28725.0,Murrin Murrin,Nickel,4.0,04/2019,Open Pit,,,"Nickel,Cobalt",Western Australia,Asia-Pacific,-28.76913,121.89354,Exact,55 km WSW of Laverton,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Glencore plc (Owner) 100%,1.0,GME Resources Limited (PTR),,,,,,,,,,,,,1999.0,2.0,1998.0,4.0,,,2042.0,,9100.0,3000000.0,,,1.0,,Open Pit,"Autoclaving, Heap Leach, High Pressure Acid Leach, Solvent-Extraction Electrowinning","Briquettes, Powder",,,633000.0,1995-02-06,,,Initial Capital Cost,"In early May 1999, the A$1 billion phase-one operation began production. (Anaconda Nickel PR 5/7/99)_x000D_
	Based on a 1996 study by Fluor Daniel, capital costs were estimated at A$900 million, the same as in BHP's earlier study, for production of 44,210 mt/y Ni and 3,110 mt/y Co over the first five years.  (MJ 2/21/97)_x000D_
	In August 1997, Glencore paid Anaconda $60 million and committed to provide A$160 million towards the A$900 million capital costs. _x000D_
  	In July 1997, Anaconda announced the completion of financing, including a $409 million U.S. Capital Markets Issue led by NatWest Capital. The project was on track for commissioning in the third quarter of 1998.  (MW 7/21/97)_x000D_
	Following a reserve upgrade in early 1996, the project was upgraded accordingly to process 3.75 million mt/y of ore and costs increased to A$770 million.  (WAUS 5/6/96)_x000D_
   In July 1996, a Barclay Mowlen-led consortium agreed to provide A$290 million for infrastructure.  (Canberra Times 7/10/96)_x000D_
	In February 1995, capital costs were estimated at A$400.  (MB 2/6/95)  The costs were relatively low because of the proximity to existing infrastructure.  (MB 8/31/95)",1995.0,Glencore plc,Glencore PLC,Glencore,,100.0,100.0,Baar,"Baar, Zug",Baar [CH],Zug,Switzerland,Europe,Murrin Murrin,"Abednego, Anaconda, Central Bore, Irwin Hills, M39/426, M39/456, M39/552, M39/553, M39/569, Murrin Murrin South",Australia,Active,Operating,2019.0,1456420.0,1.03,45750.0,237.0,2353000.0,141400000.0,Alpha Fine Chemicals website (May 2020)Glencore AnnRpt 2019,8802428.308606435,3925666.3714132425,9066501.157864628,0.005046047996179288,31.83431693989071,4.0,0.0040960000000000015,Operating-stage
829,27630.0,27630.0,Musongati,Nickel,3.0,03/2009,Open Pit,,,"Nickel,Cobalt,Copper,Platinum",Rutana,Africa,-3.74421,30.24679,Exact,35 km NE of Rutana,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,3.0,MidUral Group (Owner) 63.77%; Republic of Burundi (Owner) 15%; RusChrome GmbH (Owner) 14.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Pit,"Pressure Acid Leaching, Solvent-Extraction Electrowinning",,,,700000.0,1993-04-09,,,Initial Capital Cost,"A 1999 report stated that it would cost $700 million to develop the deposit. (PD 3/99)_x000D_
   BURUNDI MINING ESTIMATED IN A 1990 PREFEASIBILITY REPORT THAT A PROJECT TO PRODUCE 30,000 mt/y Ni WOULD BE POSSIBLE AT A COST OF $490 MILLION.  (MJ 4/9/93)",1993.0,MidUral Group,MidUral Group,MidUral Group,,63.77,100.0,,,,,Russia,Europe,Musongati,"Buhinda, Burundi, Geyuka, Nyabikere, Rubara, Waga",Burundi,Active,Feasibility,2009.0,,0.96,,184.7,2419570.0,,Argosy Mining Corp PR19990211,,,,,,7.0,0.11764899999999996,Feasibility-stage
849,31894.0,31894.0,New Morning,Nickel,7.0,07/2003,Underground,,,Nickel,Western Australia,Asia-Pacific,-32.45306,119.68,Exact,140 km SSE of Southern Cross; 360 km E of Perth,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,"2176423 Ontario Ltd. (Owner) 24.72%; Royce & Associates, LP (Owner) 5.08%",,,,,,,,,,,,,,,,,,,,,,,300.0,99000.0,,,,,Underground,,,,,21400.0,2001-03-19,,,Initial Capital Cost,Capital costs were estimated at A$37 million in a March 2001 scoing study. (NM 3/19/01),2001.0,2176423 Ontario Ltd.,2176423 Ontario Ltd.,2176423 Ontario,,24.72,82.95,Toronto,"Toronto, Ontario",Toronto [CA],Ontario,Canada,United States and Canada,New Morning,,Australia,Inactive,Reserves Development,2003.0,,1.41,,6.23,87928.0,,,,,,,,4.0,0.0040960000000000015,Development-stage
864,27077.0,27077.0,Nickel West,Nickel,10.0,10/2019,Open Pit,Underground,,"Nickel,Cobalt",Western Australia,Asia-Pacific,-27.23056,120.545,Exact,80 km N of Leinster,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,BHP Group (Owner) 100%,2.0,Franco-Nevada Corporation (GR); Franco-Nevada Corporation (NPI),,,,,,,,,,,,,1979.0,,1995.0,1.0,,,2035.0,,34850.0,11500000.0,,,,2.8,"Block & Panel Caving, Open Pit, Sublevel Stoping, Underground","Flotation, Grinding","Concentrate, Matte",,,310500.0,,,1995-01-01,Initial Capital Cost,"The mine was commissioned in October 1995 at a cost of A$450 million.  (MM 7/95)_x000D_
   ESTIMATED COSTS INCLUDEd DEVELOPMENT OF MINE INFRASTRUCTURE, A 6.6 MILLION-MT/Y CONCENTRATOR, PORT STORAGE FACILITIES, AND PORT LOADING FACILITIES.  (MG 10/90) _x000D_
   ACM AND OUTOKUMPU SECURED A $400-MILLION LIMITED RECOURSE FUNDING FACILITY IN JUNE 1990.  BARCLAYS BANK, DEUTSCHE BANK, AND UNION BANK OF SWITZERLAND AGREED TO ACT AS JOINT ARRANGERS AND UNDERWRITERS OF THE PACKAGE.  (MB 7/2/90) _x000D_
   ACM PLANNED TO MEET ITS SHARE OF THE PROJECT BY ARRANGING FUNDING OF $193 MILLION OF WHICH 30% was to BE EQUITY AND 70% DEBT.  IN ADDITION, A $60 MILLION STANDBY FINANCING WAS TO BE ARRANGED TO COVER ACM'S SHARE OF POSSIBLE CAPITAL COST OVERRUNS.  OUTOKUMPU WAS TO PAY $12.5 MILLION TO ACM ON COMPLETION OF THE LONG-TERM FINANCING TO EARN ITS 50% SHARE.  (MJ 11/23/90) _x000D_
   A PROPOSAL BY OUTOKUMPU TO PROVIDE 100% OF THE DEVELOPMENT COSTS, EXPECTED TO REACH ABOUT $450 MILLION OVER THE NEXT SEVERAL YEARS, WAS REJECTED BY THE AUSTRALIAN TREASURAY BECAUSE IT FAILED TO MEET GUIDELINES OF THE FOREIGN ACQUISITIONS AND TAKEOVERS ACT.  (AMM 9/9/91)",1995.0,BHP Group,BHP Group,BHP Grp,,100.0,100.0,Melbourne,"Melbourne, Victoria",Melbourne [AU],Victoria,Australia,Asia-Pacific,Nickel West,"Cliffs, Kalgoorlie Smelter, Kambalda Concentrator, Kwinana Refinery, Leinster, MKD.5, Mount Keith, Mt Keith, Perseverance, Rocky's Reward",Australia,Active,Operating,2019.0,670160.0,0.63,75000.0,87226.0,,3128760.0,106250000AustralianMines PR 20200403,452174.08474374894,284166.90913278254,284869.6733885618,0.2632782883058953,8.935466666666667,4.0,0.0040960000000000015,Operating-stage
883,29592.0,29592.0,Niwest,Nickel,4.0,04/2020,Open Pit,,,"Nickel,Cobalt",Western Australia,Asia-Pacific,-28.67722,121.71611,Exact,670 km NE of Perth,The Niwest project is located near Murrin Murrin in the northeastern goldfields of Western Australia. (GME Resources WS 2/11),,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,GME Resources Limited (Owner) 100%; Private Interest (Fractional),5.0,Franco-Nevada Corporation (Royalty); Glencore AG (Royalty); Private Interest (Royalty); Retford Resources NL (Royalty),,,,,,,,,,,,,,,2010.0,,,,2030.0,,7300.0,2400000.0,,,2.1,,Open Pit,"Agglomeration, Crushing, Crystallization, Heap Leach, Solvent Extraction","Carbonate, Sulfates",,,712768.311573357,2007-05-14,,,Initial Capital Cost,"In August 2018, the NiWest PFS highlighted an open pit/heap leach operation at a nameplate capacity of 2.4 million mt/y with average annual production of 19,200 mt nickel and 1,400 mt cobalt over the first 15 years. Forecast pre-production capital expenditure was A$966.3 million, including a contingency of A$120.2 million.   (GME Expl. Rpt Aug 2, 2018)_x000D_
	In December 2013, GME announced the results of a scoping study for a combined heap leach - SXEW operation at the NiWest project. The study outlined a 1.5 million-mt/y operation producing 14,000 mt/y of nickel cathode and 540 mt/y of cobalt over at least 20 years. Initial capital costs were projected at $420 million (A$460 million), including a contingency of $94 million (A$103 million). (GME PR 12/11/13)_x000D_
	As of October 2012, GME envisioned a 3.5 million mt/y heap leach project with a 20 year mine life. Metal production was estimated at 30,000 mt/y Ni grading 1%. The captial cost was estimated at $600 million. (GME PR 10/19/12)			_x000D_
	In November 2009, GME's website stated that the feasibility study (which was on hold) was for an expanded $1 billion (A$1.1 billion) heap leach project, which would process 3.5 - 4.5 million mt/y of ore (GME WS 11/09), and produce 30,000-35,000 mt/y Ni over a mine life of 20 years. (GME PR 6/10/08)_x000D_
	In May 2007, a completed prefeasibility study estimated total capital costs for the NiWest heap leach project at A$455.5 million ($378 million). (GME PR 5/14/07)",2007.0,GME Resources Limited,GME Resources Ltd.,GME Rsrc Ltd,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Niwest,"Camelback, Duck Hill, E39/1784, E39/1794, E39/1831, Eucalyptus, Hepi, M37/1216, M37/591, M39/460, M39/717, M39/718, M39/819, M39/878, M39/879, Macey Hill, Mertondale, Mount KilKenny, Mt Kilkenny, Murrin Murrin, Murrin Murrin Hepi, Murrin Murrin North, Murrin North, P37/8427, P37/8428, P39/6032, PL39/5962, Waite Kauri, Wanbanna",Australia,Active,Operating,2020.0,590590.0,0.91,22600.0,85.2,878000.0,64900000.0,Western Areas Resource Statement 2019; Western Areas PR20181022GME Resources Ltd PR20180802,4687848.857809016,2242450.763437566,4265942.460606204,0.005297774221921518,26.132300884955754,4.0,0.0040960000000000015,Operating-stage
891,27118.0,27118.0,Nonoc,Nickel,12.0,12/2012,Open Pit,,,"Nickel,Cobalt,Iron Ore",Surigao del Norte,Asia-Pacific,9.83278,125.61056,Exact,12 km SSW of Cagdianao; 13.5 km NE of Surigao City,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,1.0,Philnico Mining and Industrial Corp. (Owner) 100%,,,,,,,,,,,,,,,1975.0,,2010.0,,1986.0,,,,10600.0,3500000.0,,,,,Open Pit,"Pressure Acid Leaching, Solvent-Extraction Electrowinning",Concentrate,,,1000000.0,2000-04-04,,,Initial Capital Cost,"By June 2005, Jinchuan and Baosteel had agreed to jointly invest $1.0 billion to resume production at the Nonoc nickel ore-dressing plant. The nickel ore-dressing plant was expected to restart production in 2008 and yield 86,000 mt/y of Cu concentrates, and equivalent to 41,000 mt/y Ni metal. (Copper & Nickel Monthly 6/1/05)_x000D_
	In July 2001, Philnico was negotiating to raise $1 billion to reopen Nonoc. The company was intending to raise half of the needed capital through investors, and the other half through bank loans. Implats reportedly said that it would invest up to 25% of the funds needed. (ME 7/01)_x000D_
	In December 2000, a feasibility study estimated capital costs for the project at $1.1 billion, 55% of which would be funded through equity, and 45% by banks._x000D_
	Philnico had planned to install three pressure acid leach autoclaves to produce 41,500 mt/y of nickel sulfides, and 4,000 mt of cobalt sulfides. (MB 12/4/00)",2000.0,Philnico Mining and Industrial Corp.,Philnico Mining Industrial,Philnico Mining,,100.0,100.0,Makati City,"Makati City, Metro Manila",Makati City [PH],Metro Manila,Philippines,Asia-Pacific,Nonoc,"Philnico, Suriago",Philippines,Active,Feasibility,2012.0,,1.32,,314.516939,2987911.0,,"MGB, 2018",,,,,,8.0,0.2621440000000001,Feasibility-stage
895,35378.0,35378.0,North Kambalda,Nickel,10.0,10/2021,Underground,,,"Nickel,Cobalt,Copper,Gold,Platinum,Palladium,Silver",Western Australia,Asia-Pacific,-31.17766,121.69289,Exact,5 km ENE of Kambalda West,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Mincor Resources NL (Owner) 100%,1.0,Metals X Limited (Royalty) 1.35%,,,,,,,,,,,,,1970.0,,,,,,,,,,,,,,Underground,Flotation,Concentrate,,,15051.0394158408,2016-03-10,,,Initial Capital Cost,"In March 2016, the initial capital cost was estimated at A$20.2 million for Durkin North. (Mincor PR Mar 10, 2016)",2016.0,Mincor Resources NL,Mincor Resources NL,Mincor Rsrc NL,,100.0,100.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,North Kambalda,"Apex, Boundary East, Carnilya Hill, Coronet, Durkin, Durkin Deeps, Durkin North, Durkin Oxide, Gellatly, Golden Mile, Juan East, KD7329, KD7615, Ken, Location 48, Lone Star, Long, Long-Victor, McMahon, Merry Hampton East, Merry Hamptons, Otter Juan, USNOB Trend",Australia,Active,Operating,2021.0,16200.0,2.4,501.0,,,675000.0,,635670.1963546705,458612.45820816996,1100669.8996996079,0.0004551773425772175,32.33532934131737,4.0,0.0040960000000000015,Operating-stage
905,40767.0,40767.0,Nova-Bollinger,Nickel,9.0,09/2020,Underground,,,"Nickel,Copper,Cobalt,Platinum,Silver",Western Australia,Asia-Pacific,-31.8139,123.17778,Exact,140 km ENE of Norseman,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,IGO Limited (Owner) 100%,1.0,Private Interest (NSR),,,,,,,,,,,,,2016.0,,2016.0,4.0,,,2027.0,,4500.0,1500000.0,,,,,"Long Hole Stoping, Open Stope, Room & Pillar, Sublevel Stoping","Ball, Crushing, Flotation, Semi-Autogenous Grinding",Concentrate,,,352174.25868511,2014-07-14,,2016-10-10,Initial Capital Cost,"During the December 2014 quarter, Sirius revised the capital estimate to A$443 million including a contingency of A$22 million (12/14 QR Jan 27, 2015)_x000D_
   In mid-December 2014, Sirius completed project financing for Nova and received mining proposal approval. A finance facility of up to A$440 million was completed with four tier one banks. The facility comprised a project development tranche of A$420 million for development and working capital funding during the construction, commissioning, and ramp up stages of the project, plus a cost overrun tranche of A$20 million.  (Sirius PR Dec 16, 2014)_x000D_
   In July 2014, a definitive feasibility study estimated initial capital costs of A$473 million, including A$22 million contingency costs. (Sirius PR 7/14/14)",2016.0,IGO Limited,IGO Ltd.,IGO Ltd,,100.0,100.0,Perth,"Perth, Western Australia",Perth [AU],Western Australia,Australia,Asia-Pacific,Nova-Bollinger,"Aries, Bollinger, Brookman, C5, Chamaeleon, Chameleon, Chimera, Conductor 5, Conductor Five, Double Dipper, E28/2177, EL 28/1724, Elara, Eye, Eyelet, Feeder, Fraser Range, Hercules, Kaon 2, Leo, M28/376, MLA 28/376, Moby Dick, Nova, Nova West, Orion, Perseus, Phoenix, Upper Nova, Western Eye, Western Mafics, Yardilla, Zeus",Australia,Active,Operating,2020.0,180000.0,2.0,29002.0,11.6,234000.0,9500000.0,Alpha Fine Chemicals website (May 2020)Independence Group QRpts 2019,2954768.734150044,1680272.4562063671,3360544.9124127342,0.008630148013459444,6.2064685194124545,4.0,0.0040960000000000015,Operating-stage
906,70845.0,70845.0,Ntaka Hill,Nickel,8.0,08/2020,Open Pit,Underground,,"Nickel,Copper,Cobalt,Platinum,Palladium,Gold",Lindi,Africa,-10.10449,38.54364,Exact,40 km NW of Nachingwea,"Ntaka Hill is located in southeast Tanzania, 100 km north of the border with Mozambique, about 180 km west of Mtwara and 400 km south of Dar es Salaam. It is accessible via a 250 km road network west from Mtwara. (IMX TR Nov 14, 2012)_x000D_
   Ntaka Hill is located 47 km northwest of the Nachingwea and 12 km northwest of Mnero village. (Continental TR Apr 8, 2011)",,,2.0,3.0,2.0,2.0,,,,,,,,,,,3.0,Fig Tree Resources Fund II Limited (Venturer) 30%; MMG Limited (Venturer) 9.64%; Government of the United Republic of Tanzania (Carried) 60.36%,,,,,,,,,,,,,,,,,,,,,,,3030.0,1000000.0,,,6.16,,"Open Pit, Underground","Ball, Crushing, Flotation, Magnetic Separation",Concentrate,27.33,,225100.0,2011-10-05,,,Initial Capital Cost,"In November 2012, an updated preliminary economic assessment at Ntaka Hill estimated initial capital costs of Option 1 (open pit only) at $225.1 million which included $67.2 million in process plant costs and $51.2 million in infrastructure costs. (IMX TR Nov 14, 2012)_x000D_
In October 2011, a preliminary economic assessment at Ntaka Hill estimated initial capital costs at $216.7 million, which included $64.5 million on processing plant and $38.8 million on infrastructure.  (Continental PR Oct 5, 2011)",2011.0,Government of the United Republic of Tanzania,Government of the Untb Repub of Tanzania (Dupe 4350733),Gvt of the Untd,Carried,60.36,60.36,,,,,Tanzania,Africa,Ntaka Hill,"Nachingwea, NAD013, RL 0017/2015, Sleeping Giant, Zeppelin",Tanzania,Temporarily On Hold,Prefeas/Scoping,2020.0,,0.63,,56.2,356380.0,,effective as of 19/08/2013,,,,,,9.0,0.531441,Late-stage exploration
907,31715.0,31715.0,Nunavik,Nickel,6.0,06/2017,Open Pit,Underground,,"Nickel,Copper,Cobalt,Platinum,Palladium,Gold",Quebec,United States and Canada,61.420856,-74.1375,Exact,115 km SE of Salluit,The property is located 15 km south of the Raglan mine (profile# 103197) and 55 km east of the Delta deposit (profile# 103194).  (Canadian Royalties PR 12/19/00),,Raglan,1.0,1.0,1.0,1.0,,,,,,,,,,,3.0,"Jilin Jien Nickel Industry Co., Ltd. (Owner) 100%; Jien Canada Mining Ltd (Fractional); Nearctic Nickel Mines, Inc. (Fractional)",,,,,,,,,,,,,,,2014.0,2.0,2013.0,,,,2019.0,,4100.0,1353000.0,,,,,Open Pit,Flotation,Concentrate,,,962000.0,2006-05-09,2012-03-31,2014-04-08,Initial Capital Cost,"In April 2014, it was reported that Jilin Jien had completed construction at Nunavik, but had not yet ramped up to design capacity. So far, the project had shipped 30,000 mt Cu concentrate to customers. (Antaike 4/8/2014)	_x000D_
   As of June 2012, Jien Nickel planned to increase the investment in the Nunavik mine by $416 million (C$419 million), for total investment reaching $962 million (C$969 million)._x000D_
	Jien Nickel had decided to invest C$550 million in Nunavik 2010. The mineral processing plant was now adding new equipment including a high pressure roller, flotation mill, concentrate ore loading equipment, power generating equipment. Costs of ocean freight, oil, raw material, and labor cost were increased. Based on the estimation of HuaAo Mining Consultancy Co Ltd, the investment would increase to C$969 million. (Antaike 6/7/12)_x000D_
	In September 2010, Jilin Jien approved the issue of units to raise $117.8 million (C$122.4 million) to fund the development of Nunavik. (Jilin Jien PR 9/28/10)_x000D_
	In August 2010, Goldbrook announced that Jilin Jien agreed to develop Nunavik to production, with commissioning forecast for the March 2012 quarter. Jilin Jien was spending $117.8 million (C$122.4 million) during the remainder of 2010 on development. (Goldbrook PR 8/17/10)_x000D_
	In March 2008, Canadian Royalties closed an offering of debentures to raise $123.8 million (C$137.5 million).  Part of the proceeds would be used to fund development of Nunavik. (Canadian Royalties PR 3/18/08)_x000D_
	In late October, Canadian Royalties announced a project finance facility of $225 million (C$250 million) to fund the development of Nunavik and a lending facility of $13.5 million (C$15 million) for equipment. (Canadian Royalties PR 10/31/07)_x000D_
	In October 2007, Canadian Royalties announced it had signed a nickel offtake argreement with Norilsk Nickel and a private placement of 7.25 million shares for $25.2 million (C$25 million) to ensure project completion. (Canadian Royalties PR 10/1/07)  Canadian Royalties closed the private placement on October 25 raising $25.2 million. (Canadian Royalties PR 10/25/07)_x000D_
	In late July 2007, Canadian Royalties completed the  previously announced offering to raise $66 million (C$75 million). (Canadian Royalties PR 7/26/07)_x000D_
	In mid-July 2007, Canadian Royalties announced an offering of 27.3 million shares to raise $66 million (C$75 million).  Part of the proceeds would be used to start the initial phase of development at Nunavik. (Canadian Royalties PR 7/19/07)_x000D_
     In June 2007, Canadian completed the feasibility study on Raglan. Capital costs of $355 million (C$438 million) were escalted to a total of $378.6 million (C$466 million). (Canadian PR 6/4/07)_x000D_
	In May 2006, Canadian Royalties reported a Scoping Study that on an initial capital cost of $225 million, the project has a payback period of 4.1 years. (Canadian PR 5/9/06)",2014.0,"Jilin Jien Nickel Industry Co., Ltd.",Jilin Jien Nickel Industry Co. Ltd.,Jilin Jien Nickel,,100.0,100.0,Panshi,"Panshi, Jilin",Panshi [CN],Jilin,China,Asia-Pacific,Nunavik,"Allammaq, Breakaway, Colts, Cominga, Cominga East, Expo Ungava, Expo-Ungava, Gamache, Generals, Giraffe, Hilltop, Ivakkak, Lac Felix NE, Lac Mequillon, Mesamax, Puimajjuq, Puimajuq, Raglan South, Sting, TK, Tootoo",Canada,Active,Operating,2017.0,82311.7362,0.89,15600.0,27.15,241970.0,11314328.0,,1473064.825925551,824606.2241430028,1311027.6950737403,0.011899062131652802,5.276393346153846,4.0,0.0040960000000000015,Operating-stage
